lessons_completed,quiz_score,progress,time_spent,skill_level,next_lesson,recommendation
1,47,30,226,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,20,61,34,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
2,82,30,199,Advanced,4,Next: Lesson 4 - Blending Techniques
3,67,59,263,Intermediate,4,Next: Lesson 4 - Blending Techniques
2,29,43,123,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,0,85,193,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
2,17,42,252,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,31,79,256,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
5,69,97,86,Intermediate,5,Course Complete! Try another course.
4,54,86,173,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
1,56,29,260,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
5,10,94,114,Beginner,4,Revisit Lesson 4 - Blending Techniques
0,88,-10,273,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
0,59,-3,24,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
2,20,38,154,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,79,56,119,Intermediate,4,Next: Lesson 4 - Blending Techniques
3,57,51,209,Intermediate,4,Next: Lesson 4 - Blending Techniques
4,51,87,256,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
0,76,0,143,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
3,47,53,55,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
0,65,0,219,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
5,43,100,251,Beginner,4,Revisit Lesson 4 - Blending Techniques
3,45,66,233,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
2,28,47,28,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,2,100,102,Beginner,4,Revisit Lesson 4 - Blending Techniques
1,9,27,98,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,87,62,241,Advanced,4,Next: Lesson 4 - Blending Techniques
2,17,31,129,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,41,76,135,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
1,29,20,82,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,13,79,44,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,83,59,221,Advanced,4,Next: Lesson 4 - Blending Techniques
2,38,32,88,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,0,40,161,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,32,81,38,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
5,77,100,97,Intermediate,5,Course Complete! Try another course.
0,42,0,199,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
0,70,1,293,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,18,19,191,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,71,100,55,Intermediate,5,Course Complete! Try another course.
0,38,6,118,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,6,11,57,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,67,49,96,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
0,100,1,284,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
2,59,48,241,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
2,23,31,265,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,21,49,300,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,21,100,56,Beginner,4,Revisit Lesson 4 - Blending Techniques
1,0,15,58,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,28,24,41,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,8,44,72,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,22,65,112,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
5,13,100,49,Beginner,4,Revisit Lesson 4 - Blending Techniques
5,50,100,137,Intermediate,5,Course Complete! Try another course.
1,0,21,15,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,45,50,294,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,82,75,238,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
1,48,15,171,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,49,45,90,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,37,56,60,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
2,23,42,247,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,73,97,201,Intermediate,5,Course Complete! Try another course.
5,72,100,79,Intermediate,5,Course Complete! Try another course.
5,1,100,248,Beginner,4,Revisit Lesson 4 - Blending Techniques
4,87,90,172,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
0,60,-6,101,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
0,87,1,300,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
0,5,10,154,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,74,19,41,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
1,25,19,191,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,87,30,94,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
3,32,60,102,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
5,20,96,300,Beginner,4,Revisit Lesson 4 - Blending Techniques
4,84,72,70,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
1,3,20,64,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,0,10,184,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,21,70,138,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
5,33,100,186,Beginner,4,Revisit Lesson 4 - Blending Techniques
4,41,74,39,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,81,86,184,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
5,52,100,201,Intermediate,5,Course Complete! Try another course.
5,42,98,17,Beginner,4,Revisit Lesson 4 - Blending Techniques
1,74,17,211,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
5,23,100,204,Beginner,4,Revisit Lesson 4 - Blending Techniques
2,69,35,53,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
4,26,77,133,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,88,53,193,Advanced,4,Next: Lesson 4 - Blending Techniques
5,5,95,193,Beginner,4,Revisit Lesson 4 - Blending Techniques
1,19,16,267,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,22,24,67,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,87,46,257,Advanced,4,Next: Lesson 4 - Blending Techniques
4,42,74,46,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,56,65,104,Intermediate,4,Next: Lesson 4 - Blending Techniques
5,65,96,279,Intermediate,5,Course Complete! Try another course.
0,28,9,151,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
0,15,7,153,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
3,87,55,144,Advanced,4,Next: Lesson 4 - Blending Techniques
5,61,92,96,Intermediate,5,Course Complete! Try another course.
4,63,72,136,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
1,100,29,203,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
4,70,86,238,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
4,5,82,78,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
2,9,30,178,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,36,89,166,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,13,81,15,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,73,82,257,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
2,58,35,31,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
1,15,19,100,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,51,-4,21,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
0,0,9,96,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
4,53,86,31,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
1,48,17,229,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,75,23,29,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
3,87,58,98,Advanced,4,Next: Lesson 4 - Blending Techniques
2,19,38,70,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,44,100,68,Beginner,4,Revisit Lesson 4 - Blending Techniques
2,4,30,195,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,89,62,247,Advanced,4,Next: Lesson 4 - Blending Techniques
